web-scraper-start-url,title,datasheet-src
https://www.rotorama.com/product/flyfish-flash-1303-5-5500kv,FlyfishRC Flash 1303.5 5500kv,https://www.rotorama.cz/cms/assets/docs/c8b901942f01db30c1962a360f2d7468/21113-0/flash1303.5motor-1.jpg
https://www.rotorama.com/product/rcinpower-gts-v2-1207-6000kv,RCinpower GTS V2 1207 6000Kv,https://www.rotorama.com/cms/assets/images/134f7453ab47acdf1225643ebaedb795/16430-600.png
https://www.rotorama.com/product/deepspace-aether-1505-4000kv,DeepSpace Aether 1505 4000Kv,https://www.rotorama.cz/cms/assets/docs/2c71d9d15bebf2acbe1c01f18bba3d85/28942-0/1744372632924-0_68aeee7d1077b.jpg
https://www.rotorama.com/product/emax-eco-ii-2004-3000kv,Emax Eco II 2004 3000KV,https://www.rotorama.com/cms/assets/images/2b6b782e090444bc1fda5cc717956dea/10786-1060.jpg
https://www.rotorama.com/product/emax-emax-eco-ii-2004-2400kv,Emax Eco II 2004 2400KV,https://www.rotorama.com/cms/assets/images/2b6b782e090444bc1fda5cc717956dea/10786-1060.jpg
https://www.rotorama.com/product/betafpv-lava-1104-7200kv,BetaFPV LAVA 1104 7200Kv,https://www.rotorama.cz/cms/assets/docs/53c988451a072d12d3881aff4c0257a3/30219-0/9948510e3dcfc96b7b03038a28ab2954.jpg
https://www.rotorama.com/product/rcinpower-gts-v3-1103-18000kv,RCinpower GTS V3 1003 18000Kv,https://www.rotorama.com/cms/assets/images/3c1fb54e7a3b9c4f7fb089f4b775103c/15056-850.jpg
https://www.rotorama.com/product/darwinfpv-1103-8000kv-bling,DarwinFPV Bling 1103 8000Kv,https://www.rotorama.com/cms/assets/docs/41070634de64421bdcd77b5f1baa6f6b/32774-0/the-more-details-for-1103-motor-1.jpg
https://www.rotorama.com/product/geprc-speedx2-1002-25000kv,GEPRC SpeedX2 1002 25000Kv,https://www.rotorama.cz/cms/assets/docs/c12d1be8945b53430d7f1ab8b28df96a/23484-0/4-5_677bd2732ad62.jpg
https://www.rotorama.com/product/geprc-speedx2-1202-5-10000kv,GEPRC SpeedX2 1202.5 10000KV,https://www.rotorama.cz/cms/assets/docs/7cf0eff70ba2f594c06a52c1d0ffe405/31154-0/4-1-6908d1d5c537f.jpg
https://www.rotorama.com/product/flashhobby-1408-3650kv-2,Flashhobby A1408 3650Kv (5mm),https://www.rotorama.cz/cms/assets/docs/02127863faa61a4cfdcd7063d52e4226/29171-0/1408.jpg
https://www.rotorama.com/product/flashhobby-2004-2100kv-v2,Flashhobby 2004 V2 2100Kv,https://www.rotorama.cz/cms/assets/docs/5ce7982d5a40b5fa266920ade3d2d5fd/29110-0/k2004-v2-1750kv-00-00-1-1-810570.jpg
https://www.rotorama.com/product/happymodel-ex1404-3500kv-2,Happymodel EX1404 3500Kv,https://www.rotorama.com/cms/assets/images/3b9fb5d3df2ab5f7249c6b816696a76f/11909-1000.jpg
https://www.rotorama.com/product/flashhobby-1303-8000kv,Flashhobby K1303 8000KV,https://www.rotorama.cz/cms/assets/docs/fdf9588ed9be0486c40cdcba8291ee53/29125-0/1303-motor-drawing-912679_68b958e6ee3fc.jpg
https://www.rotorama.com/product/geprc-speedx2-1104-7500kv,GEPRC SpeedX2 1104 7500KV,https://www.rotorama.com/cms/assets/docs/e5a9675d3217dfb5d3f3353cc9bc39a7/33731-0/6-4_696e37da70985.jpg
https://www.rotorama.com/product/flashhobby-a1207-5200kv,Flashhobby A1207 5200KV,https://www.rotorama.cz/cms/assets/docs/55541783f59584e55a348e3573de4bb3/29284-0/snimek-obrazovky-2025-09-08-150134_68bee1a827234.jpg
https://www.rotorama.com/product/happymodel-rs0802-20000kv-2,Happymodel RS0802 20000Kv,https://www.rotorama.com/cms/assets/images/7886e6074ab2ae947f63dbce5c5a4793/11929-665.jpg
https://www.rotorama.com/product/happymodel-ex0802-19000kv-2,Happymodel EX0802 19000Kv,https://www.rotorama.com/cms/assets/images/13e3f388ed502cb8843152ee62c3ee90/11893-833.jpg
